"sample","locus","tip","copy","exact_tip_marginal_pp"
"C_lau_7886_Can","APP","C_lau_7886_Can_A1","7886_c2",0.50639842866496
"C_lau_7886_Can","APP","C_lau_7886_Can_B1","7886_c1",0.497946550800548
"C_lau_7886_Can","APP","C_lau_7886_Can_C1","7886_c3",0.493184929468484
"C_lau_7886_Can","GAP","C_lau_7886_Can_A1","7886_c2",0.501339205999643
"C_lau_7886_Can","GAP","C_lau_7886_Can_B2","7886_c3",0.51461222546277
"C_lau_7886_Can","GAP","C_lau_7886_Can_C2","7886_c1",0.505267543598595
"C_lau_7886_Can","IBR","C_lau_7886_Can_A1","7886_c2",0.504969942265341
"C_lau_7886_Can","IBR","C_lau_7886_Can_C1","7886_c1",0.509910124397357
"C_lau_7886_Can","IBR","C_lau_7886_Can_B2","7886_c3",0.508838759597643
"C_lau_7886_Can","PGI","C_lau_7886_Can_A2","7886_c2",0.491994524135468
"C_lau_7886_Can","PGI","C_lau_7886_Can_C2","7886_c1",0.507945955597881
"C_lau_7886_Can","TRNGR","C_lau_7886_Can_B2","7886_c1",0.508005475864532
