"sample","locus","homeolog","copy","displayed_tip","exact_tip_marginal_pp","homeolog_assignment_pp"
"C_lau_7886_Can","APP","C_lau_7886_Can_A","7886_c2","C_lau_7886_Can_A1",0.50639842866496,1
"C_lau_7886_Can","APP","C_lau_7886_Can_B","7886_c1","C_lau_7886_Can_B1",0.497946550800548,1
"C_lau_7886_Can","APP","C_lau_7886_Can_C","7886_c3","C_lau_7886_Can_C1",0.493184929468484,1
"C_lau_7886_Can","GAP","C_lau_7886_Can_A","7886_c2","C_lau_7886_Can_A1",0.501339205999643,1
"C_lau_7886_Can","GAP","C_lau_7886_Can_B","7886_c3","C_lau_7886_Can_B2",0.51461222546277,1
"C_lau_7886_Can","GAP","C_lau_7886_Can_C","7886_c1","C_lau_7886_Can_C2",0.505267543598595,1
"C_lau_7886_Can","IBR","C_lau_7886_Can_A","7886_c2","C_lau_7886_Can_A1",0.504969942265341,1
"C_lau_7886_Can","IBR","C_lau_7886_Can_C","7886_c1","C_lau_7886_Can_C1",0.509910124397357,1
"C_lau_7886_Can","IBR","C_lau_7886_Can_B","7886_c3","C_lau_7886_Can_B2",0.508838759597643,1
"C_lau_7886_Can","PGI","C_lau_7886_Can_A","7886_c2","C_lau_7886_Can_A2",0.491994524135468,1
"C_lau_7886_Can","PGI","C_lau_7886_Can_C","7886_c1","C_lau_7886_Can_C2",0.507945955597881,1
"C_lau_7886_Can","TRNGR","C_lau_7886_Can_B","7886_c1","C_lau_7886_Can_B2",0.508005475864532,1
