"sample","locus","tip","copy","exact_tip_marginal_pp"
"A_tai_11685_Mys","APP","A_tai_11685_Mys_A","11685_c2",1
"A_tai_11685_Mys","APP","A_tai_11685_Mys_B","11685_c1",1
"A_ten_10529_Chn","APP","A_ten_10529_Chn_A","10529_c2",1
"A_ten_10529_Chn","APP","A_ten_10529_Chn_B","10529_c1",1
"A_ten_11702_Mys","APP","A_ten_11702_Mys_A","11702_c1",1
"A_ten_11702_Mys","APP","A_ten_11702_Mys_B","11702_c2",1
"C_deq_12509_Chn","APP","C_deq_12509_Chn_A1","12509_c2",0.534333255214436
"C_deq_12509_Chn","APP","C_deq_12509_Chn_A2","12509_c1",0.534333255214436
"C_dic_10804_Rus","APP","C_dic_10804_Rus_A","10804_c1",1
"C_dic_10804_Rus","APP","C_dic_10804_Rus_C","10804_c2",1
"C_form_13989_Chl","APP","C_form_13989_Chl_A","13989_c1",1
"C_form_13989_Chl","APP","C_form_13989_Chl_B","13989_c2",1
"C_fra_16804_Chn","APP","C_fra_16804_Chn_A","16804_c1",1
"C_fra_16804_Chn","APP","C_fra_16804_Chn_C","16804_c2",1
"C_fra_5846_CO","APP","C_fra_5846_CO_A","5846_c3",1
"C_fra_5846_CO","APP","C_fra_5846_CO_C","5846_c2",1
"C_fra_5846_CO","APP","C_fra_5846_CO_B","5846_c1",1
"C_fra_6980_Can","APP","C_fra_6980_Can_A","6980_c1",1
"C_fra_6980_Can","APP","C_fra_6980_Can_B","6980_c2",1
"C_fra_7011_Icld","APP","C_fra_7011_Icld_A","7011_c1",1
"C_fra_7011_Icld","APP","C_fra_7011_Icld_B","7011_c2",1
"C_fra_7112_Mex","APP","C_fra_7112_Mex_A","7112_c2",1
"C_fra_7112_Mex","APP","C_fra_7112_Mex_B","7112_c1",1
"C_fra_7625_Tai","APP","C_fra_7625_Tai_B","7625_c2",1
"C_fra_7625_Tai","APP","C_fra_7625_Tai_C","7625_c1",1
"C_fra_7625_Tai","APP","C_fra_7625_Tai_D","7625_c3",1
"C_ree_7032_NM","APP","C_ree_7032_NM_A","7032_c1",1
"C_sud_10801_Rus","APP","C_sud_10801_Rus_A","10801_c1",1
"C_sud_10801_Rus","APP","C_sud_10801_Rus_B","10801_c2",1
"C_tas_6379_Nzl","APP","C_tas_6379_Nzl_B","6379_c1",1
"C_tas_6379_Nzl","APP","C_tas_6379_Nzl_A1","6379_c2",0.559487540035935
"C_ten_16972_MN","APP","C_ten_16972_MN_A","16972_c1",1
"C_ten_16972_MN","APP","C_ten_16972_MN_B","16972_c2",1
"C_tenn_11539_KS","APP","C_tenn_11539_KS_A","11539_c1",1
"C_tenn_11539_KS","APP","C_tenn_11539_KS_B","11539_c2",1
"C_tenu_6827_UT","APP","C_tenu_6827_UT_A","6827_c1",1
"C_tenu_6827_UT","APP","C_tenu_6827_UT_B","6827_c2",1
"C_uta_8232_NM","APP","C_uta_8232_NM_A","8232_c2",1
"C_uta_8232_NM","APP","C_uta_8232_NM_B","8232_c1",1
"G_aok_7984_Jpn","APP","G_aok_7984_Jpn_A","7984_c1",1
"G_aok_7984_Jpn","APP","G_aok_7984_Jpn_B","7984_c2",1
"G_con_6979_Can","APP","G_con_6979_Can_A","6979_c1",1
"G_con_6979_Can","APP","G_con_6979_Can_B","6979_c2",1
"G_dry_16589_Can","APP","G_dry_16589_Can_A","16589_c2",1
"G_dry_16589_Can","APP","G_dry_16589_Can_B","16589_c1",1
"G_jes_12476_Chn","APP","G_jes_12476_Chn_A","12476_c1",1
"G_jes_12476_Chn","APP","G_jes_12476_Chn_B","12476_c2",1
"G_rob_8117_Aut","APP","G_rob_8117_Aut_A","8117_c1",1
"G_rob_8117_Aut","APP","G_rob_8117_Aut_B","8117_c2",1
"G_rob_8978_MN","APP","G_rob_8978_MN_A","8978_c1",1
"G_rob_8978_MN","APP","G_rob_8978_MN_B","8978_c2",1
"A_tai_11685_Mys","GAP","A_tai_11685_Mys_A","11685_c1",1
"A_tai_11685_Mys","GAP","A_tai_11685_Mys_B","11685_c2",1
"A_ten_10529_Chn","GAP","A_ten_10529_Chn_A","10529_c1",1
"A_ten_10529_Chn","GAP","A_ten_10529_Chn_B","10529_c2",1
"A_ten_11702_Mys","GAP","A_ten_11702_Mys_A","11702_c1",1
"A_ten_11702_Mys","GAP","A_ten_11702_Mys_B","11702_c2",1
"C_deq_12509_Chn","GAP","C_deq_12509_Chn_A1","12509_c2",0.507225997968909
"C_deq_12509_Chn","GAP","C_deq_12509_Chn_A2","12509_c1",0.507225997968909
"C_dic_10804_Rus","GAP","C_dic_10804_Rus_C","10804_c1",1
"C_dic_10804_Rus","GAP","C_dic_10804_Rus_B","10804_c2",1
"C_form_13989_Chl","GAP","C_form_13989_Chl_A","13989_c1",1
"C_fra_16804_Chn","GAP","C_fra_16804_Chn_B2","16804_c1",0.497617373642684
"C_fra_5846_CO","GAP","C_fra_5846_CO_A","5846_c2",1
"C_fra_5846_CO","GAP","C_fra_5846_CO_B","5846_c1",1
"C_fra_6980_Can","GAP","C_fra_6980_Can_A","6980_c1",1
"C_fra_6980_Can","GAP","C_fra_6980_Can_B","6980_c2",1
"C_fra_7011_Icld","GAP","C_fra_7011_Icld_A","7011_c1",1
"C_fra_7112_Mex","GAP","C_fra_7112_Mex_A","7112_c1",1
"C_fra_7625_Tai","GAP","C_fra_7625_Tai_A","7625_c3",1
"C_fra_7625_Tai","GAP","C_fra_7625_Tai_B","7625_c2",1
"C_fra_7625_Tai","GAP","C_fra_7625_Tai_C","7625_c1",1
"C_ree_7032_NM","GAP","C_ree_7032_NM_A","7032_c1",1
"C_ree_7032_NM","GAP","C_ree_7032_NM_B","7032_c2",1
"C_sud_10801_Rus","GAP","C_sud_10801_Rus_A","10801_c1",1
"C_sud_10801_Rus","GAP","C_sud_10801_Rus_B","10801_c2",1
"C_tas_6379_Nzl","GAP","C_tas_6379_Nzl_A2","6379_c1",0.642996640887431
"C_tas_6379_Nzl","GAP","C_tas_6379_Nzl_A1","6379_c2",0.642996640887431
"C_ten_16972_MN","GAP","C_ten_16972_MN_A","16972_c2",1
