"","APP","GAP","IBR","PGI","TRNGR"
"A_tai_11685_Mys_A","11685_c2","11685_c1","11685_c1","11685_c1","11685_c1"
"A_tai_11685_Mys_B","11685_c1","11685_c2","11685_c2","11685_c2","11685_BLANK1"
"A_ten_10529_Chn_A","10529_c2","10529_c1","10529_c1","10529_c1","10529_c1"
"A_ten_10529_Chn_B","10529_c1","10529_c2","10529_c2","10529_c2","10529_BLANK1"
"A_ten_11702_Mys_A","11702_c1","11702_c1","11702_c1","11702_c1","11702_BLANK1"
"A_ten_11702_Mys_B","11702_c2","11702_c2","11702_c2","11702_c2","11702_c1"
"C_deq_12509_Chn_A1","12509_c2","12509_c2","12509_BLANK1","12509_BLANK1","12509_BLANK2"
"C_deq_12509_Chn_A2","12509_c1","12509_c1","12509_c2","12509_c1","12509_c1"
"C_deq_12509_Chn_B","12509_BLANK1","12509_BLANK1","12509_c1","12509_c2","12509_BLANK1"
"C_dic_10804_Rus_A","10804_c1","10804_BLANK1","10804_c1","10804_BLANK1","10804_c1"
"C_dic_10804_Rus_C","10804_c2","10804_c1","10804_BLANK1","10804_c2","10804_BLANK1"
"C_dic_10804_Rus_B","10804_BLANK1","10804_c2","10804_c2","10804_c1","10804_BLANK2"
"C_form_13989_Chl_A","13989_c1","13989_c1","13989_c2","13989_c1","13989_c1"
"C_form_13989_Chl_B","13989_c2","13989_BLANK1","13989_c1","13989_c2","13989_BLANK1"
"C_fra_16804_Chn_A","16804_c1","16804_BLANK2","16804_c2","16804_BLANK2","16804_BLANK3"
"C_fra_16804_Chn_B1","16804_BLANK2","16804_BLANK1","16804_BLANK2","16804_c1","16804_c1"
"C_fra_16804_Chn_B2","16804_BLANK1","16804_c1","16804_c1","16804_BLANK1","16804_BLANK2"
"C_fra_16804_Chn_C","16804_c2","16804_BLANK3","16804_BLANK1","16804_c2","16804_BLANK1"
"C_fra_5846_CO_A","5846_c3","5846_c2","5846_BLANK1","5846_c1","5846_BLANK1"
"C_fra_5846_CO_C","5846_c2","5846_BLANK1","5846_c1","5846_c3","5846_c1"
