Sample,Subgenome,APP,GAP,IBR,PGI,TRNGR
C_uta_8232_NM,C_uta_8232_NM_A,,,,,
C_uta_8232_NM,C_uta_8232_NM_B,,,,,
C_tenn_11539_KS,C_tenn_11539_KS_A,,,,,
C_tenn_11539_KS,C_tenn_11539_KS_B,,,,,
G_aok_7984_Jpn,G_aok_7984_Jpn_A,,,,,
G_aok_7984_Jpn,G_aok_7984_Jpn_B,,,,,
G_dry_16589_Can,G_dry_16589_Can_A,,,,,
G_dry_16589_Can,G_dry_16589_Can_B,,,,,
G_rob_8978_MN,G_rob_8978_MN_A,,,,,
G_rob_8978_MN,G_rob_8978_MN_B,,,,,
G_con_6979_Can,G_con_6979_Can_A,,,,,
G_con_6979_Can,G_con_6979_Can_B,,,,,
G_jes_12476_Chn,G_jes_12476_Chn_A,,,,,
G_jes_12476_Chn,G_jes_12476_Chn_B,,,,,
A_ten_10529_Chn,A_ten_10529_Chn_A,,,,,
A_ten_10529_Chn,A_ten_10529_Chn_B,,,,,
A_ten_11702_Mys,A_ten_11702_Mys_A,,,,,
A_ten_11702_Mys,A_ten_11702_Mys_B,,,,,
A_tai_11685_Mys,A_tai_11685_Mys_A,,,,,
A_tai_11685_Mys,A_tai_11685_Mys_B,,,,,
C_sud_10801_Rus,C_sud_10801_Rus_A,,,,,
C_sud_10801_Rus,C_sud_10801_Rus_B,,,,,
C_fra_6980_Can,C_fra_6980_Can_A,,,,,
C_fra_6980_Can,C_fra_6980_Can_B,,,,,
C_ten_16972_MN,C_ten_16972_MN_A,,,,,
C_ten_16972_MN,C_ten_16972_MN_B,,,,,
C_fra_7011_Icld,C_fra_7011_Icld_A,,,,,
C_fra_7011_Icld,C_fra_7011_Icld_B,,,,,
C_ten_6827_UT,C_ten_6827_UT_A,,,,,
C_ten_6827_UT,C_ten_6827_UT_B,,,,,
C_api_13989_Chl,C_api_13989_Chl_A,,,,,
C_api_13989_Chl,C_api_13989_Chl_B,,,,,
C_tas_6379_Nzl,C_tas_6379_Nzl_A,,,,,
C_tas_6379_Nzl,C_tas_6379_Nzl_B1,,,,,
C_tas_6379_Nzl,C_tas_6379_Nzl_B2,,,,,
C_fra_5846_CO,C_fra_5846_CO_A,,,,,
C_fra_5846_CO,C_fra_5846_CO_C,,,,,
C_fra_5846_CO,C_fra_5846_CO_B,,,,,
C_fra_7625_Tai,C_fra_7625_Tai_A,,,,,
C_fra_7625_Tai,C_fra_7625_Tai_C,,,,,
C_fra_7625_Tai,C_fra_7625_Tai_B,,,,,
C_ree_7032_NM,C_ree_7032_NM_A,,,,,
C_ree_7032_NM,C_ree_7032_NM_B,,,,,
C_fra_16804_Chn,C_fra_16804_Chn_A,,,,,
C_fra_16804_Chn,C_fra_16804_Chn_C,,,,,
C_fra_16804_Chn,C_fra_16804_Chn_B,,,,,
C_alp_7920_Swe,C_alp_7920_Swe_A,,,,,
C_alp_7920_Swe,C_alp_7920_Swe_E,,,,,
C_alp_7920_Swe,C_alp_7920_Swe_C1,,,,,
C_alp_7920_Swe,C_alp_7920_Swe_D,,,,,
C_alp_7920_Swe,C_alp_7920_Swe_B1,,,,,
C_alp_7920_Swe,C_alp_7920_Swe_B2,,,,,
C_alp_7920_Swe,C_alp_7920_Swe_C2,,,,,
C_deq_12509_Chn,C_deq_12509_Chn_A1,,,,,
C_deq_12509_Chn,C_deq_12509_Chn_B,,,,,
C_deq_12509_Chn,C_deq_12509_Chn_A2,,,,,
